region,patch,date.played,team.a,team.b,map,first.pick.team,map.pick.team,ban.1,ban.2,pick.1,pick.2,pick.3,pick.4,pick.5,ban.3,ban.4,pick.6,pick.7,pick.8,pick.9,pick.10,winner,loser,game.number
North America,22.7,2/3/2017,Superstars,Gale Force eSports,Braxis Holdout,Superstars,Gale Force eSports,Zarya,Malfurion,Tassadar,Lt. Morales,Valla,Zul'jin,Rehgar,Dehaka,Medivh,Artanis,E.T.C.,Diablo,Thrall,Gul'dan,Gale Force eSports,Superstars,104
North America,22.7,2/3/2017,Superstars,Gale Force eSports,Cursed Hollow,Superstars,Gale Force eSports,Artanis,Tracer,Tassadar,Zarya,Valla,Brightwing,Tychus,Illidan,Medivh,Falstad,Diablo,Muradin,Zeratul,Malfurion,Gale Force eSports,Superstars,105
Europe,22.7,2/4/2017,Misfits,Synergy,Towers of Doom,Synergy,Misfits,Zeratul,Tassadar,Dehaka,Ragnaros,Malfurion,Tychus,E.T.C.,Rehgar,Zarya,Falstad,Li-Ming,Kharazim,Chromie,Muradin,Misfits,Synergy,106
Europe,22.7,2/4/2017,Misfits,Synergy,Dragon Shire,Misfits,Synergy,Rexxar,Ragnaros,Tassadar,Malfurion,Falstad,Dehaka,Valla,Rehgar,Varian,Jaina,E.T.C.,Muradin,Brightwing,Xul,Misfits,Synergy,107
Europe,22.7,2/4/2017,Misfits,Synergy,Sky Temple,Misfits,Synergy,Falstad,Zeratul,Tassadar,Malfurion,E.T.C.,Valla,Dehaka,Brightwing,Varian,Jaina,Zarya,Rehgar,Tyrael,The Lost Vikings,Misfits,Synergy,108
Europe,22.7,2/4/2017,Team Dignitas,Team Expert,Braxis Holdout,Team Dignitas,Team Expert,E.T.C.,Muradin,Tassadar,Valla,Varian,Dehaka,Malfurion,Sylvanas,Zarya,Medivh,Ragnaros,Tyrael,Gul'dan,Rehgar,Team Expert,Team Dignitas,109
Europe,22.7,2/4/2017,Team Dignitas,Team Expert,Infernal Shrines,Team Expert,Team Dignitas,E.T.C.,Tassadar,Malfurion,Rehgar,Ragnaros,Diablo,Medivh,Jaina,Tychus,Valla,Zarya,Nazeebo,Xul,Tyrael,Team Dignitas,Team Expert,110
Europe,22.7,2/4/2017,Team Dignitas,Team Expert,Dragon Shire,Team Dignitas,Team Expert,Medivh,E.T.C.,Tassadar,Ragnaros,Xul,Valla,Dehaka,Johanna,Jaina,Muradin,Rehgar,Varian,Malfurion,Nazeebo,Team Dignitas,Team Expert,111
Europe,22.7,2/4/2017,Team Dignitas,Team Expert,Battlefield of Eternity,Team Dignitas,Team Expert,Medivh,E.T.C.,Tassadar,Varian,Valla,Tyrael,Malfurion,Artanis,Li-Ming,Ragnaros,Zarya,Tracer,Jaina,Uther,Team Dignitas,Team Expert,112
North America,22.7,2/4/2017,Naventic,Team Freedom,Sky Temple,Team Freedom,Naventic,Malfurion,Tassadar,Ragnaros,Zeratul,E.T.C.,Tychus,Diablo,Rehgar,Falstad,Brightwing,Li-Ming,Kharazim,Thrall,Dehaka,Naventic,Team Freedom,113
North America,22.7,2/4/2017,Naventic,Team Freedom,Braxis Holdout,Team Freedom,Naventic,Malfurion,Zarya,Tassadar,Lt. Morales,Valla,Zul'jin,Auriel,Ragnaros,Gul'dan,Jaina,E.T.C.,Johanna,Artanis,Chen,Team Freedom,Naventic,114
North America,22.7,2/4/2017,Naventic,Team Freedom,Towers of Doom,Naventic,Team Freedom,Malfurion,Tassadar,Ragnaros,Tychus,E.T.C.,Zeratul,Brightwing,Valla,Artanis,Li-Ming,Rehgar,Varian,Tracer,Thrall,Team Freedom,Naventic,115
North America,22.7,2/4/2017,Naventic,Team Freedom,Tomb of the Spider Queen,Naventic,Team Freedom,Malfurion,Tassadar,Ragnaros,Tychus,E.T.C.,Varian,Valla,Medivh,Artanis,Gul'dan,Lt. Morales,Zarya,Auriel,Thrall,Team Freedom,Naventic,116
North America,22.7,2/4/2017,Tempo Storm,Team 8,Cursed Hollow,Tempo Storm,Team 8,Tassadar,Tracer,Zeratul,Ragnaros,Malfurion,Falstad,Diablo,Kharazim,E.T.C.,Zarya,Varian,Tychus,Rehgar,Medivh,Tempo Storm,Team 8,117
North America,22.7,2/4/2017,Tempo Storm,Team 8,Braxis Holdout,Team 8,Tempo Storm,Ragnaros,Zarya,Tassadar,Valla,Malfurion,Lt. Morales,Varian,Gul'dan,Artanis,E.T.C.,Brightwing,Dehaka,Zul'jin,Leoric,Team 8,Tempo Storm,118
North America,22.7,2/4/2017,Tempo Storm,Team 8,Battlefield of Eternity,Tempo Storm,Team 8,Malfurion,Tracer,Artanis,Tassadar,Ragnaros,Li-Ming,Valla,Diablo,Tychus,Varian,Kharazim,Rehgar,Johanna,Zeratul,Team 8,Tempo Storm,119
North America,22.7,2/4/2017,Tempo Storm,Team 8,Sky Temple,Tempo Storm,Team 8,Tassadar,Zeratul,Ragnaros,Zarya,Malfurion,Falstad,Diablo,Kharazim,Valla,Medivh,Tychus,Thrall,Rehgar,Varian,Tempo Storm,Team 8,120
North America,22.7,2/4/2017,Tempo Storm,Team 8,Towers of Doom,Team 8,Tempo Storm,Falstad,Tracer,Tassadar,Ragnaros,Valla,Varian,Malfurion,Tychus,Diablo,Zeratul,Rehgar,Illidan,Li-Ming,E.T.C.,Tempo Storm,Team 8,121
Europe,22.7,2/5/2017,Fnatic,Team Expert,Tomb of the Spider Queen,Team Expert,Fnatic,E.T.C.,Tassadar,Malfurion,Sylvanas,Rehgar,Leoric,Nazeebo,Xul,Johanna,Dehaka,Tyrael,Zeratul,Ragnaros,Greymane,Team Expert,Fnatic,122
Europe,22.7,2/5/2017,Fnatic,Team Expert,Braxis Holdout,Fnatic,Team Expert,Tassadar,E.T.C.,Malfurion,Valla,Ragnaros,Muradin,Falstad,Tychus,Medivh,Zarya,Arthas,Leoric,Chromie,Lt. Morales,Fnatic,Team Expert,123
Europe,22.7,2/5/2017,Fnatic,Team Expert,Dragon Shire,Fnatic,Team Expert,Tassadar,Falstad,Dehaka,Xul,Ragnaros,Jaina,Malfurion,E.T.C.,Muradin,Nazeebo,Rehgar,Greymane,Tyrael,Diablo,Team Expert,Fnatic,124
Europe,22.7,2/5/2017,Fnatic,Team Expert,Infernal Shrines,Fnatic,Team Expert,Tassadar,E.T.C.,Tychus,Sylvanas,Malfurion,Ragnaros,Rehgar,Muradin,Xul,Falstad,Diablo,Greymane,Tyrael,Arthas,Fnatic,Team Expert,125
Europe,22.7,2/5/2017,Fnatic,Team Expert,Towers of Doom,Fnatic,Team Expert,Tassadar,E.T.C.,Dehaka,Zeratul,Ragnaros,Falstad,Malfurion,Tyrael,Diablo,Medivh,Brightwing,Li-Ming,Varian,Anub'arak,Fnatic,Team Expert,126
Europe,22.7,2/5/2017,Tricked eSports,Synergy,Braxis Holdout,TRICKED eSports,Synergy,Tassadar,E.T.C.,Gul'dan,Tychus,Malfurion,Dehaka,Falstad,Tyrael,Rexxar,Muradin,Jaina,Johanna,Auriel,Anub'arak,Tricked eSports,Synergy,127
Europe,22.7,2/5/2017,Tricked eSports,Synergy,Towers of Doom,Synergy,TRICKED eSports,Zeratul,Tassadar,Falstad,Dehaka,Tychus,E.T.C.,Malfurion,Jaina,Ragnaros,Li-Ming,Varian,The Lost Vikings,Greymane,Brightwing,Synergy,Tricked eSports,128
Europe,22.7,2/5/2017,Tricked eSports,Synergy,Battlefield of Eternity,Synergy,TRICKED eSports,Zeratul,Tassadar,Malfurion,Artanis,E.T.C.,Li-Ming,Arthas,Tychus,Jaina,Ragnaros,Valla,Falstad,Johanna,Rehgar,Tricked eSports,Synergy,129
Europe,22.7,2/5/2017,Tricked eSports,Synergy,Sky Temple,TRICKED eSports,Synergy,Tassadar,Zeratul,Falstad,Dehaka,Malfurion,Muradin,Jaina,Rehgar,Tychus,E.T.C.,Zarya,Brightwing,Ragnaros,Valla,Tricked eSports,Synergy,130
North America,22.7,2/5/2017,Gale Force eSports,Team 8,Towers of Doom,Team 8,Gale Force eSports,Dehaka,Tassadar,Zeratul,Brightwing,Falstad,Ragnaros,Li-Ming,Malfurion,Diablo,Muradin,Tychus,Kharazim,E.T.C.,Illidan,Team 8,Gale Force eSports,131
North America,22.7,2/5/2017,Gale Force eSports,Team 8,Battlefield of Eternity,Gale Force eSports,Team 8,Artanis,Tracer,Tassadar,Valla,Ragnaros,Malfurion,Zeratul,Diablo,Kharazim,Rehgar,Varian,E.T.C.,Li-Ming,Medivh,Gale Force eSports,Team 8,132
North America,22.7,2/5/2017,Gale Force eSports,Team 8,Braxis Holdout,Team 8,Gale Force eSports,Ragnaros,Zarya,Tassadar,Valla,Lt. Morales,Malfurion,Varian,Zul'jin,Diablo,Artanis,Gul'dan,Greymane,Falstad,E.T.C.,Team 8,Gale Force eSports,133
North America,22.7,2/5/2017,Gale Force eSports,Team 8,Tomb of the Spider Queen,Gale Force eSports,Team 8,Malfurion,Lt. Morales,Tassadar,Gul'dan,Ragnaros,Rehgar,Valla,Johanna,Auriel,Tychus,Kharazim,Tyrael,E.T.C.,Varian,Gale Force eSports,Team 8,134
North America,22.7,2/5/2017,Gale Force eSports,Team 8,Cursed Hollow,Team 8,Gale Force eSports,Dehaka,Tracer,Zeratul,Valla,Tassadar,Falstad,Ragnaros,Kharazim,Brightwing,Diablo,Malfurion,Rehgar,E.T.C.,Li-Ming,Team 8,Gale Force eSports,135
North America,22.7,2/5/2017,Team Freedom,B Step,Towers of Doom,B Step,Team Freedom,Tassadar,Ragnaros,Zeratul,Tychus,Malfurion,Falstad,Varian,Jaina,Diablo,E.T.C.,Li-Ming,Kharazim,Tyrande,Thrall,B Step,Team Freedom,136
North America,22.7,2/5/2017,Team Freedom,B Step,Sky Temple,Team Freedom,B Step,Varian,Tassadar,Ragnaros,Malfurion,Zeratul,Diablo,Tychus,Thrall,E.T.C.,Falstad,Muradin,Li-Ming,Rehgar,Tyrande,B Step,Team Freedom,137
North America,22.7,2/5/2017,Team Freedom,B Step,Battlefield of Eternity,Team Freedom,B Step,Malfurion,Artanis,Tassadar,Valla,Varian,Tracer,E.T.C.,Ragnaros,Tyrande,Li-Ming,Thrall,Kharazim,Greymane,Uther,Team Freedom,B Step,138
North America,22.7,2/5/2017,Team Freedom,B Step,Tomb of the Spider Queen,Team Freedom,B Step,Malfurion,Tassadar,Ragnaros,Rehgar,Diablo,Tychus,Gul'dan,Lt. Morales,Chromie,Thrall,Sylvanas,Auriel,Johanna,Jaina,B Step,Team Freedom,139
Europe,23.3,2/10/2017,Team Dignitas,Playing Ducks,Towers of Doom,Playing Ducks,Team Dignitas,Zeratul,Tassadar,E.T.C.,Tyrael,Malfurion,Tychus,Medivh,Arthas,Abathur,Jaina,Ragnaros,Anub'arak,Brightwing,Tracer,Team Dignitas,Playing Ducks,140
Europe,23.3,2/10/2017,Team Dignitas,Playing Ducks,Tomb of the Spider Queen,Team Dignitas,Playing Ducks,Xul,Tassadar,Malfurion,E.T.C.,Rehgar,Ragnaros,Tychus,Johanna,Medivh,Thrall,Valla,Varian,Jaina,Chromie,Playing Ducks,Team Dignitas,141
Europe,23.3,2/10/2017,Team Dignitas,Playing Ducks,Braxis Holdout,Team Dignitas,Playing Ducks,Falstad,E.T.C.,Tassadar,Malfurion,Valla,Ragnaros,Rehgar,Sgt. Hammer,Dehaka,Varian,Zarya,Tyrael,Zul'jin,Sonya,Team Dignitas,Playing Ducks,142
Europe,23.3,2/10/2017,Team Dignitas,Playing Ducks,Battlefield of Eternity,Playing Ducks,Team Dignitas,Zeratul,Tassadar,Malfurion,E.T.C.,Rehgar,Varian,Valla,Zarya,Jaina,Li-Ming,Arthas,Anub'arak,Tychus,Greymane,Team Dignitas,Playing Ducks,143
Europe,23.3,2/10/2017,Misfits,beGenius,Infernal Shrines,Misfits,beGenius,Tassadar,Ragnaros,Tychus,E.T.C.,Malfurion,Rehgar,Tyrael,Sonya,Sylvanas,Varian,Valla,Greymane,Diablo,Li-Ming,Misfits,beGenius,144
Europe,23.3,2/10/2017,Misfits,beGenius,Towers of Doom,beGenius,Misfits,Ragnaros,Tassadar,Tychus,Malfurion,Zeratul,E.T.C.,Rehgar,Zarya,Falstad,Dehaka,Varian,Tyrande,Thrall,Li-Ming,Misfits,beGenius,145
Europe,23.3,2/10/2017,Misfits,beGenius,Sky Temple,beGenius,Misfits,Ragnaros,Tassadar,E.T.C.,Falstad,Malfurion,Dehaka,Tychus,Rehgar,Varian,Muradin,Li-Ming,Kharazim,Anub'arak,Sonya,Misfits,beGenius,146
Europe,23.3,2/11/2017,beGenius,TRICKED eSports,Dragon Shire,beGenius,TRICKED eSports,Dehaka,Tassadar,Tychus,E.T.C.,Malfurion,Johanna,Xul,Rehgar,Jaina,Falstad,Valla,Kharazim,Leoric,Sonya,Tricked eSports,beGenius,147
Europe,23.3,2/11/2017,beGenius,TRICKED eSports,Infernal Shrines,beGenius,TRICKED eSports,E.T.C.,Tassadar,Tychus,Malfurion,Ragnaros,Rehgar,Tyrael,Greymane,Valla,Falstad,Johanna,Li-Ming,Sonya,Jaina,Tricked eSports,beGenius,148
Europe,23.3,2/11/2017,beGenius,TRICKED eSports,Cursed Hollow,beGenius,TRICKED eSports,Dehaka,Tassadar,Zeratul,E.T.C.,Tychus,Malfurion,Falstad,Jaina,Brightwing,Ragnaros,Tyrael,Anub'arak,Li-Ming,Rehgar,Tricked eSports,beGenius,149
North America,23.3,2/10/2017,Tempo Storm,No Tomorrow,Cursed Hollow,No Tomorrow,Tempo Storm,Zeratul,Tassadar,Malfurion,Falstad,E.T.C.,Li-Ming,Thrall,Diablo,Zarya,Kharazim,Tychus,Muradin,Valla,Valeera,Tempo Storm,No Tomorrow,150
North America,23.3,2/10/2017,Tempo Storm,No Tomorrow,Dragon Shire,Tempo Storm,No Tomorrow,Ragnaros,Tassadar,Malfurion,E.T.C.,Falstad,Zeratul,Tychus,Diablo,Rehgar,Kharazim,Li-Ming,Varian,Dehaka,Artanis,Tempo Storm,No Tomorrow,151
North America,23.3,2/10/2017,Tempo Storm,No Tomorrow,Towers of Doom,No Tomorrow,Tempo Storm,Valeera,Tassadar,Zeratul,Ragnaros,Malfurion,E.T.C.,Tychus,Rehgar,Varian,Falstad,Li-Ming,Kharazim,Jaina,Johanna,Tempo Storm,No Tomorrow,152
North America,23.3,2/10/2017,Naventic,Superstars,Towers of Doom,Naventic,Superstars,Malfurion,Tassadar,Zeratul,Rehgar,Tychus,Varian,Falstad,Brightwing,Dehaka,Medivh,Ragnaros,Li-Ming,Kharazim,E.T.C.,Superstars,Naventic,153
North America,23.3,2/10/2017,Naventic,Superstars,Braxis Holdout,Naventic,Superstars,Zarya,Tassadar,Valla,Lt. Morales,Varian,Malfurion,Gul'dan,E.T.C.,Sonya,Lunara,Rexxar,Artanis,Muradin,Medivh,Superstars,Naventic,154
North America,23.3,2/10/2017,Naventic,Superstars,Tomb of the Spider Queen,Naventic,Superstars,Medivh,Gul'dan,Tassadar,Valla,Ragnaros,Varian,Sonya,Rehgar,Malfurion,Lt. Morales,Zarya,Kharazim,Tychus,Johanna,Superstars,Naventic,155
Europe,23.3,2/11/2017,Team Expert,Misfits,Infernal Shrines,Team Expert,Misfits,Sonya,Ragnaros,Malfurion,Tychus,Rehgar,E.T.C.,Jaina,Zarya,Varian,Tassadar,Tyrael,Sgt. Hammer,Illidan,Tracer,Misfits,Team Expert,156
Europe,23.3,2/11/2017,Team Expert,Misfits,Sky Temple,Team Expert,Misfits,Dehaka,Tassadar,Malfurion,Tychus,Varian,Johanna,Thrall,Zarya,Zeratul,Rehgar,Ragnaros,Jaina,Medivh,Falstad,Misfits,Team Expert,157
Europe,23.3,2/11/2017,Team Expert,Misfits,Dragon Shire,Misfits,Team Expert,Tassadar,Dehaka,Malfurion,Falstad,Medivh,Xul,Varian,Tychus,E.T.C.,Rehgar,Anub'arak,Nazeebo,Ragnaros,The Butcher,Misfits,Team Expert,158
North America,23.3,2/11/2017,Superstars,B Step,Dragon Shire,Superstars,B Step,Malfurion,Tassadar,Ragnaros,Zeratul,Falstad,Rehgar,Medivh,Tychus,Diablo,Jaina,Varian,Johanna,Valeera,Kharazim,Superstars,B Step,159
North America,23.3,2/11/2017,Superstars,B Step,Towers of Doom,B Step,Superstars,Medivh,Tassadar,Zeratul,Varian,Malfurion,Diablo,Falstad,Jaina,Dehaka,Zarya,Tychus,Tyrande,Kharazim,Valeera,Superstars,B Step,160
North America,23.3,2/11/2017,Superstars,B Step,Tomb of the Spider Queen,B Step,Superstars,Tassadar,Malfurion,Ragnaros,Rehgar,Gul'dan,Diablo,Tychus,Jaina,Zarya,Varian,Thrall,Lt. Morales,Kael'thas,Medivh,B Step,Superstars,161
North America,23.3,2/11/2017,Superstars,B Step,Sky Temple,Superstars,B Step,Ragnaros,Tassadar,Zeratul,Malfurion,Tychus,Falstad,Rehgar,Varian,Dehaka,Diablo,Li-Ming,E.T.C.,Medivh,Valeera,B Step,Superstars,162
North America,23.3,2/11/2017,Superstars,B Step,Battlefield of Eternity,Superstars,B Step,Ragnaros,Tassadar,Malfurion,Tychus,Li-Ming,E.T.C.,Valla,Artanis,Varian,Kharazim,Muradin,Tyrande,Alarak,Medivh,B Step,Superstars,163
North America,23.3,2/11/2017,Team 8,Naventic,Braxis Holdout,Naventic,Team 8,Tassadar,Zarya,Lt. Morales,Varian,Valla,Tychus,Gul'dan,E.T.C.,Medivh,Ragnaros,Malfurion,Johanna,Artanis,Zeratul,Team 8,Naventic,164
North America,23.3,2/11/2017,Team 8,Naventic,Infernal Shrines,Naventic,Team 8,Sonya,Tassadar,Ragnaros,Zeratul,Falstad,Varian,Medivh,Sylvanas,Diablo,Tychus,Malfurion,Kharazim,Greymane,E.T.C.,Team 8,Naventic,165
North America,23.3,2/11/2017,Team 8,Naventic,Battlefield of Eternity,Naventic,Team 8,Ragnaros,Tassadar,Zeratul,Varian,Li-Ming,E.T.C.,Malfurion,Sylvanas,Lt. Morales,Kharazim,Tychus,Tyrande,Valla,Medivh,Team 8,Naventic,166
Europe,23.3,2/12/2017,Team Dignitas,Fnatic,Sky Temple,Team Dignitas,Fnatic,E.T.C.,Tassadar,Malfurion,Varian,Falstad,Tyrael,Dehaka,Ragnaros,Li-Ming,Zeratul,Brightwing,Tracer,Gul'dan,Sgt. Hammer,Fnatic,Team Dignitas,167
Europe,23.3,2/12/2017,Team Dignitas,Fnatic,Cursed Hollow,Team Dignitas,Fnatic,Dehaka,Tassadar,Falstad,Varian,Malfurion,E.T.C.,Rehgar,Ragnaros,Li-Ming,Chromie,Tyrael,Tychus,Thrall,Sgt. Hammer,Fnatic,Team Dignitas,168
Europe,23.3,2/12/2017,Team Dignitas,Fnatic,Braxis Holdout,Team Dignitas,Fnatic,Falstad,Tassadar,Sylvanas,Tychus,Malfurion,Ragnaros,Sgt. Hammer,Lt. Morales,Chromie,E.T.C.,Jaina,Tyrael,Uther,Zeratul,Team Dignitas,Fnatic,169
Europe,23.3,2/12/2017,Team Dignitas,Fnatic,Infernal Shrines,Fnatic,Team Dignitas,Tassadar,Ragnaros,Malfurion,Rehgar,Tychus,Greymane,E.T.C.,Chromie,Arthas,Tyrael,Sylvanas,Valla,Dehaka,Kerrigan,Team Dignitas,Fnatic,170
Europe,23.3,2/12/2017,Team Dignitas,Fnatic,Dragon Shire,Fnatic,Team Dignitas,Tassadar,Xul,Dehaka,Jaina,Malfurion,Falstad,Muradin,Tychus,Zeratul,Tyrael,Sgt. Hammer,Chromie,Kharazim,Ragnaros,Fnatic,Team Dignitas,171
Europe,23.3,2/12/2017,Playing Ducks,Synergy,Dragon Shire,Synergy,Playing Ducks,Xul,Tassadar,Falstad,E.T.C.,Malfurion,Dehaka,Sgt. Hammer,Johanna,Chromie,Tychus,Ragnaros,Brightwing,Varian,Li-Ming,Synergy,Playing Ducks,172
Europe,23.3,2/12/2017,Playing Ducks,Synergy,Braxis Holdout,Playing Ducks,Synergy,Zarya,Falstad,Tassadar,Sgt. Hammer,Varian,Valla,Malfurion,E.T.C.,Lt. Morales,Chromie,Brightwing,Muradin,Rexxar,Chen,Playing Ducks,Synergy,173
Europe,23.3,2/12/2017,Playing Ducks,Synergy,Tomb of the Spider Queen,Synergy,Playing Ducks,Xul,Tassadar,Malfurion,Johanna,Rehgar,Valla,Zarya,E.T.C.,Chromie,Ragnaros,Falstad,Leoric,Rexxar,Gul'dan,Playing Ducks,Synergy,174
Europe,23.3,2/12/2017,Playing Ducks,Synergy,Towers of Doom,Synergy,Playing Ducks,Dehaka,Tassadar,Falstad,E.T.C.,Malfurion,Artanis,Ragnaros,Tyrael,Jaina,Medivh,Valla,Varian,Kharazim,Leoric,Playing Ducks,Synergy,175
North America,23.3,2/12/2017,Tempo Storm,Gale Force eSports,Braxis Holdout,Tempo Storm,Gale Force eSports,Malfurion,Zarya,Valla,Tassadar,Lt. Morales,Auriel,Varian,Li-Ming,Zul'jin,E.T.C.,Gul'dan,Artanis,Tychus,Dehaka,Gale Force eSports,Tempo Storm,176
North America,23.3,2/12/2017,Tempo Storm,Gale Force eSports,Cursed Hollow,Tempo Storm,Gale Force eSports,Brightwing,Tassadar,Falstad,Dehaka,E.T.C.,Malfurion,Zeratul,Li-Ming,Kharazim,Rehgar,Zarya,Ragnaros,Diablo,Sgt. Hammer,Gale Force eSports,Tempo Storm,177
North America,23.3,2/12/2017,Tempo Storm,Gale Force eSports,Battlefield of Eternity,Tempo Storm,Gale Force eSports,Ragnaros,Tassadar,Malfurion,Zeratul,Li-Ming,E.T.C.,Tychus,Artanis,Diablo,Rehgar,Falstad,Illidan,Kharazim,Varian,Gale Force eSports,Tempo Storm,178
North America,23.3,2/12/2017,Team Freedom,No Tomorrow,Sky Temple,Team Freedom,No Tomorrow,Varian,Tassadar,Zeratul,Malfurion,Ragnaros,E.T.C.,Falstad,Brightwing,Li-Ming,Johanna,Tychus,Rehgar,Valla,Zarya,No Tomorrow,Team Freedom,179
North America,23.3,2/12/2017,Team Freedom,No Tomorrow,Braxis Holdout,Team Freedom,No Tomorrow,Malfurion,Varian,Valla,Lt. Morales,Tassadar,Auriel,Zarya,Medivh,Zul'jin,E.T.C.,Sgt. Hammer,Artanis,Johanna,Sonya,Team Freedom,No Tomorrow,180
North America,23.3,2/12/2017,Team Freedom,No Tomorrow,Battlefield of Eternity,No Tomorrow,Team Freedom,E.T.C.,Tassadar,Ragnaros,Li-Ming,Varian,Malfurion,Diablo,Zeratul,Kharazim,Tychus,Artanis,Falstad,Valla,Rehgar,No Tomorrow,Team Freedom,181
North America,23.3,2/12/2017,Team Freedom,No Tomorrow,Tomb of the Spider Queen,Team Freedom,No Tomorrow,Ragnaros,Tassadar,Malfurion,Varian,Tychus,Gul'dan,Zarya,E.T.C.,Jaina,Li-Ming,Rehgar,Diablo,Sonya,Leoric,No Tomorrow,Team Freedom,182
Europe,23.3,2/17/2017,Fnatic,Playing Ducks,Tomb of the Spider Queen,Fnatic,Playing Ducks,Tassadar,Ragnaros,Malfurion,Johanna,Rehgar,Chromie,E.T.C.,Tychus,Xul,Valla,Zarya,Sylvanas,Leoric,Dehaka,Fnatic,Playing Ducks,183
Europe,23.3,2/17/2017,Fnatic,Playing Ducks,Cursed Hollow,Playing Ducks,Fnatic,Zeratul,Tassadar,E.T.C.,Falstad,Malfurion,Medivh,Dehaka,Valla,Tyrael,Li-Ming,Varian,Jaina,Brightwing,Anub'arak,Fnatic,Playing Ducks,184
Europe,23.3,2/17/2017,Fnatic,Playing Ducks,Towers of Doom,Playing Ducks,Fnatic,Zeratul,Tassadar,E.T.C.,Falstad,Malfurion,Medivh,Dehaka,Valla,Li-Ming,Varian,Sgt. Hammer,Tychus,Brightwing,Zarya,Playing Ducks,Fnatic,185
Europe,23.3,2/17/2017,Fnatic,Playing Ducks,Braxis Holdout,Fnatic,Playing Ducks,Tassadar,Dehaka,Malfurion,E.T.C.,Falstad,Muradin,Sylvanas,Chromie,Zarya,Gul'dan,Auriel,Jaina,Zeratul,Samuro,Fnatic,Playing Ducks,186
Europe,23.3,2/17/2017,TRICKED eSports,Misfits,Infernal Shrines,Misfits,TRICKED eSports,Tychus,Tassadar,Ragnaros,Malfurion,Jaina,Tyrael,Rehgar,Greymane,Diablo,Falstad,Sonya,Gul'dan,Valla,Muradin,Misfits,Tricked eSports,187
Europe,23.3,2/17/2017,TRICKED eSports,Misfits,Towers of Doom,TRICKED eSports,Misfits,Malfurion,Tassadar,Rehgar,Ragnaros,Falstad,Tyrael,Valla,Abathur,Brightwing,Varian,Kharazim,E.T.C.,Tychus,Nazeebo,Misfits,Tricked eSports,188
Europe,23.3,2/17/2017,TRICKED eSports,Misfits,Sky Temple,TRICKED eSports,Misfits,Falstad,Tassadar,Dehaka,Malfurion,Zeratul,E.T.C.,Tychus,Rehgar,Ragnaros,Li-Ming,Muradin,Tyrande,Arthas,Tracer,Tricked eSports,Misfits,189
Europe,23.3,2/17/2017,TRICKED eSports,Misfits,Dragon Shire,Misfits,TRICKED eSports,Tassadar,Falstad,Malfurion,Tychus,Dehaka,Ragnaros,Xul,Jaina,Arthas,Leoric,Muradin,Tyrael,Nazeebo,Tyrande,Tricked eSports,Misfits,190
Europe,23.3,2/17/2017,TRICKED eSports,Misfits,Warhead Junction,Misfits,TRICKED eSports,Dehaka,Tassadar,Falstad,Tychus,Zeratul,Varian,Rehgar,Li-Ming,Jaina,Arthas,Ragnaros,The Lost Vikings,Nazeebo,Brightwing,Misfits,Tricked eSports,191
North America,23.3,2/17/2017,No Tomorrow,Gale Force eSports,Sky Temple,Gale Force eSports,No Tomorrow,Malfurion,Tassadar,Zeratul,Varian,Ragnaros,Rehgar,Li-Ming,E.T.C.,Tychus,Kharazim,Falstad,Johanna,Abathur,Dehaka,Gale Force eSports,No Tomorrow,192
North America,23.3,2/17/2017,No Tomorrow,Gale Force eSports,Braxis Holdout,No Tomorrow,Gale Force eSports,Lt. Morales,Zarya,Malfurion,Tassadar,Valla,Johanna,Ragnaros,Gul'dan,Sonya,Thrall,E.T.C.,Sylvanas,Jaina,Rehgar,Gale Force eSports,No Tomorrow,193
North America,23.3,2/17/2017,No Tomorrow,Gale Force eSports,Battlefield of Eternity,No Tomorrow,Gale Force eSports,Li-Ming,Tassadar,Malfurion,Zeratul,E.T.C.,Varian,Valla,Ragnaros,Rehgar,Lunara,Tychus,Falstad,Artanis,Kharazim,Gale Force eSports,No Tomorrow,194
North America,23.3,2/17/2017,B Step,Naventic,Cursed Hollow,Naventic,B Step,Zeratul,Tassadar,Falstad,Malfurion,Dehaka,Varian,Ragnaros,Kharazim,Valeera,Sgt. Hammer,Zarya,Li-Ming,Brightwing,Tyrael,B Step,Naventic,195
North America,23.3,2/17/2017,B Step,Naventic,Battlefield of Eternity,B Step,Naventic,Artanis,Tassadar,Li-Ming,Malfurion,Sgt. Hammer,Kharazim,Diablo,Medivh,Zarya,Varian,Tyrande,Valla,Lt. Morales,Illidan,Naventic,B Step,196
North America,23.3,2/17/2017,B Step,Naventic,Tomb of the Spider Queen,Naventic,B Step,Zeratul,Tassadar,Ragnaros,Tychus,Malfurion,Varian,Gul'dan,Lt. Morales,E.T.C.,Diablo,Thrall,Falstad,Rehgar,Nazeebo,B Step,Naventic,197
North America,23.3,2/17/2017,B Step,Naventic,Infernal Shrines,Naventic,B Step,Ragnaros,Tassadar,Kerrigan,Diablo,Medivh,Gul'dan,Malfurion,Tyrael,Zeratul,Tychus,Kharazim,Varian,Sylvanas,Chromie,Naventic,B Step,198
North America,23.3,2/17/2017,B Step,Naventic,Dragon Shire,B Step,Naventic,Zarya,Falstad,Malfurion,Valla,Tassadar,Varian,Ragnaros,Sgt. Hammer,Dehaka,Brightwing,E.T.C.,Jaina,Xul,Thrall,B Step,Naventic,199
