region,patch,date.played,team.a,team.b,map,first.pick.team,map.pick.team,ban.1,ban.2,pick.1,pick.2,pick.3,pick.4,pick.5,ban.3,ban.4,pick.6,pick.7,pick.8,pick.9,pick.10,winner,loser,game.number
Europe,22.7,1/28/2017,Misfits,Playing Ducks,Tomb of the Spider Queen,Playing Ducks,Misfits,Ragnaros,Tassadar,Malfurion,Rehgar,Chromie,Johanna,Valla,Zarya,E.T.C.,Sylvanas,Muradin,Xul,Dehaka,Thrall,Playing Ducks,Misfits,66
Europe,22.7,1/28/2017,Misfits,Playing Ducks,Dragon Shire,Misfits,Playing Ducks,Falstad,Zeratul,Tassadar,Valla,Dehaka,Malfurion,Ragnaros,Tracer,Xul,Johanna,Tychus,Tyrael,Greymane,Lt. Morales,Misfits,Playing Ducks,67
Europe,22.7,1/28/2017,Misfits,Playing Ducks,Sky Temple,Playing Ducks,Misfits,Zeratul,Tassadar,Falstad,Malfurion,Dehaka,E.T.C.,Tychus,Brightwing,Muradin,Ragnaros,Tyrael,Leoric,Rehgar,Li-Ming,Misfits,Playing Ducks,68
Europe,22.7,1/28/2017,Misfits,Playing Ducks,Cursed Hollow,Playing Ducks,Misfits,Zeratul,Tassadar,E.T.C.,Dehaka,Malfurion,Valla,Medivh,Thrall,Tyrael,Ragnaros,Muradin,Arthas,Brightwing,Tychus,Misfits,Playing Ducks,69
North America,22.7,1/28/2017,Tempo Storm,B Step,Tomb of the Spider Queen,B Step,Tempo Storm,Artanis,Ragnaros,Tassadar,Zarya,Malfurion,E.T.C.,Valla,Auriel,Gul'dan,Tychus,Thrall,Leoric,Rehgar,Diablo,Tempo Storm,B Step,70
North America,22.7,1/28/2017,Tempo Storm,B Step,Cursed Hollow,B Step,Tempo Storm,Artanis,Tassadar,Ragnaros,Zeratul,Malfurion,Zarya,E.T.C.,Brightwing,Diablo,Tychus,Falstad,Greymane,Uther,Johanna,Tempo Storm,B Step,71
North America,22.7,1/28/2017,Tempo Storm,B Step,Towers of Doom,B Step,Tempo Storm,Artanis,Tassadar,Ragnaros,Malfurion,Zeratul,Brightwing,Diablo,Zarya,Tychus,Li-Ming,Falstad,Medivh,Chromie,Johanna,Tempo Storm,B Step,72
North America,22.7,1/28/2017,Naventic,No Tomorrow,Battlefield of Eternity,No Tomorrow,Naventic,Tassadar,Artanis,Ragnaros,Malfurion,E.T.C.,Li-Ming,Tychus,Diablo,Thrall,Valla,Tyrael,Rehgar,Johanna,Greymane,No Tomorrow,Naventic,73
North America,22.7,1/28/2017,Naventic,No Tomorrow,Tomb of the Spider Queen,No Tomorrow,Naventic,Tassadar,Malfurion,Ragnaros,Lt. Morales,Zarya,Artanis,Tychus,Rehgar,Valla,Zul'jin,E.T.C.,Kharazim,Varian,Thrall,No Tomorrow,Naventic,74
North America,22.7,1/28/2017,Naventic,No Tomorrow,Dragon Shire,Naventic,No Tomorrow,Ragnaros,Tassadar,Tychus,Artanis,Malfurion,E.T.C.,Rehgar,Dehaka,Falstad,Varian,Li-Ming,Jaina,Leoric,Valla,Naventic,No Tomorrow,75
North America,22.7,1/28/2017,Naventic,No Tomorrow,Infernal Shrines,No Tomorrow,Naventic,Tassadar,Ragnaros,Artanis,Malfurion,Kerrigan,Tychus,E.T.C.,Rehgar,Tyrael,Medivh,Valla,Kharazim,Zarya,Varian,Naventic,No Tomorrow,76
North America,22.7,1/28/2017,Naventic,No Tomorrow,Sky Temple,No Tomorrow,Naventic,E.T.C.,Malfurion,Ragnaros,Valla,Tassadar,Rehgar,Tychus,Diablo,Auriel,Brightwing,Varian,Johanna,Li-Ming,Tracer,Naventic,No Tomorrow,77
Europe,22.7,1/29/2017,Fnatic,Synergy,Tomb of the Spider Queen,Synergy,Fnatic,E.T.C.,Tassadar,Ragnaros,Malfurion,Tychus,Auriel,Valla,Zarya,Chromie,Johanna,Sylvanas,Muradin,Gul'dan,Thrall,Fnatic,Synergy,78
Europe,22.7,1/29/2017,Fnatic,Synergy,Sky Temple,Synergy,Fnatic,Falstad,Tassadar,Tychus,E.T.C.,Malfurion,Rehgar,Dehaka,Artanis,Thrall,Li-Ming,Tyrael,Illidan,Anub'arak,Tracer,Fnatic,Synergy,79
Europe,22.7,1/29/2017,Fnatic,Synergy,Cursed Hollow,Synergy,Fnatic,Falstad,Tassadar,Malfurion,Zeratul,Li-Ming,E.T.C.,Greymane,Dehaka,Diablo,Tyrael,Brightwing,The Lost Vikings,Sylvanas,Ragnaros,Fnatic,Synergy,80
Europe,22.7,1/29/2017,Team Expert,beGenius,Tomb of the Spider Queen,Team Expert,beGenius,Tassadar,Ragnaros,E.T.C.,Tychus,Malfurion,Zarya,Valla,Rehgar,Johanna,Xul,Muradin,Brightwing,Leoric,Falstad,Team Expert,beGenius,81
Europe,22.7,1/29/2017,Team Expert,beGenius,Infernal Shrines,Team Expert,beGenius,Xul,Ragnaros,Valla,Tychus,Tassadar,E.T.C.,Malfurion,Jaina,Muradin,Zarya,Kharazim,Illidan,Falstad,Arthas,Team Expert,beGenius,82
Europe,22.7,1/29/2017,Team Expert,beGenius,Battlefield of Eternity,Team Expert,beGenius,E.T.C.,Tassadar,Ragnaros,Li-Ming,Tyrael,Artanis,Malfurion,Tychus,Rehgar,Greymane,Kharazim,Anub'arak,Medivh,Falstad,Team Expert,beGenius,83
North America,22.7,1/29/2017,Gale Force eSports,Team Freedom,Towers of Doom,Team Freedom,Gale Force eSports,Zarya,Tassadar,Ragnaros,Brightwing,Falstad,Zeratul,Malfurion,Diablo,Dehaka,Muradin,Li-Ming,Tychus,E.T.C.,Illidan,Gale Force eSports,Team Freedom,84
North America,22.7,1/29/2017,Gale Force eSports,Team Freedom,Cursed Hollow,Team Freedom,Gale Force eSports,Zarya,Tassadar,Ragnaros,Brightwing,Zeratul,E.T.C.,Artanis,Malfurion,Falstad,Dehaka,Li-Ming,Rehgar,Tychus,Muradin,Team Freedom,Gale Force eSports,85
North America,22.7,1/29/2017,Gale Force eSports,Team Freedom,Battlefield of Eternity,Gale Force eSports,Team Freedom,Artanis,Tassadar,Malfurion,Li-Ming,E.T.C.,Diablo,Tychus,Zarya,Ragnaros,Tyrael,Valla,Illidan,Tracer,Brightwing,Gale Force eSports,Team Freedom,86
North America,22.7,1/29/2017,Gale Force eSports,Team Freedom,Warhead Junction,Team Freedom,Gale Force eSports,Zarya,Artanis,Tassadar,Ragnaros,The Lost Vikings,Dehaka,Valla,Tracer,Falstad,E.T.C.,Lt. Morales,Rehgar,Illidan,Zul'jin,Team Freedom,Gale Force eSports,87
North America,22.7,1/29/2017,Gale Force eSports,Team Freedom,Infernal Shrines,Gale Force eSports,Team Freedom,Diablo,Tassadar,Ragnaros,E.T.C.,Malfurion,Zarya,Gul'dan,Auriel,Artanis,Thrall,Tychus,Rehgar,Medivh,Nazeebo,Team Freedom,Gale Force eSports,88
North America,22.7,1/29/2017,Team 8,Superstars,Towers of Doom,Superstars,Team 8,Artanis,Ragnaros,Tassadar,Valla,Dehaka,Tracer,Malfurion,E.T.C.,Zarya,Tyrael,Rehgar,Tychus,Varian,Li Li,Team 8,Superstars,89
North America,22.7,1/29/2017,Team 8,Superstars,Infernal Shrines,Team 8,Superstars,Kerrigan,Artanis,Ragnaros,Tassadar,Valla,Zarya,Gul'dan,Lt. Morales,Dehaka,Malfurion,Diablo,E.T.C.,Rehgar,Medivh,Team 8,Superstars,90
North America,22.7,1/29/2017,Team 8,Superstars,Braxis Holdout,Team 8,Superstars,Ragnaros,Tassadar,Zarya,Valla,Artanis,Malfurion,Gul'dan,E.T.C.,Lt. Morales,Cho,Gall,Dehaka,Leoric,Auriel,Team 8,Superstars,91
Europe,22.7,2/3/2017,Playing Ducks,Tricked eSports,Infernal Shrines,Playing Ducks,TRICKED eSports,Tyrael,Tassadar,Ragnaros,E.T.C.,Jaina,Tychus,Medivh,Malfurion,Zeratul,Rehgar,Falstad,Johanna,Brightwing,Leoric,Tricked eSports,Playing Ducks,92
Europe,22.7,2/3/2017,Playing Ducks,Tricked eSports,Braxis Holdout,TRICKED eSports,Playing Ducks,Gul'dan,Ragnaros,E.T.C.,Valla,Malfurion,Dehaka,Jaina,Zeratul,Tassadar,Muradin,Zarya,Rehgar,Tychus,Artanis,Tricked eSports,Playing Ducks,93
